한자,병음,의미,활성
好,hǎo,좋다,O
再见,zài jiàn,잘 가,O
谢谢,xiè xie,고마워요,O
不客气,bú kè qi,별말씀을요,O
对不起,duì bu qǐ,죄송해요,O
没关系,méi guān xi,괜찮다,O
喂,wéi,여보세요,O
人,rén,사람,O
爸爸,bà ba,아빠,O
妈妈,mā ma,엄마,O
儿子,ér zi,아들,O
女儿,nǚ ér,딸,O
弟弟,dì di,남동생,O
哥哥,gē ge,"형, 오빠",O
姐姐,jiě jie,"언니, 누나",O
妹妹,mèi mei,여동생,O
爷爷,yé ye,할아버지,O
奶奶,nǎi nai,할머니,O
睡觉,shuì jiào,잠을 자다,O
衣服,yī fu,옷,O
想,xiǎng,"생각하다, 그리워하다",O
怎么样,zěn me yàng,"어떻다, 어떠하다",O
现在,xiàn zài,지금,O
早上,zǎo shang,아침,O
晚上,wǎn shang,"저녁, 밤",O
昨天,zuó tiān,어제,O
今天,jīn tiān,오늘,O
明天,míng tiān,내일,O
时候,shí hou,"때, 시각",O
点,diǎn,시,O
星期,xīng qī,"요일, 주",O
月,yuè,"월, 달",O
年,nián,"해, 년",O
去年,qù nián,작년,O
每天,měi tiān,매일,O
开,kāi,열다,O
坐,zuò,"(교통 수단을)타다, 앉다",O
出租车,chū zū chē,택시,O
公交车,gōng jiāo chē,버스,O
公共汽车,gōng gòng qì chē,버스,O
在,zài,~에 있다,O
去,qù,가다,O
来,lái,오다,O
走,zǒu,"가다, 걷다",O
哪里,nǎ li,어디,O
回,huí,"돌아가다, 돌아오다",O
先生,xiān sheng,"선생, 씨(성인 남자)",O
菜,cài,"요리, 음식",O
吃,chī,먹다,O
喝,hē,마시다,O
茶,chá,차,O
米饭,mǐ fàn,쌀밥,O
爱,ài,사랑하다,O
喜欢,xǐ huan,좋아하다,O
打电话,dǎ diàn huà,전화하다,O
电影,diàn yǐng,영화,O
说,shuō,말하다,O
请,qǐng,~하세요,O
商店,shāng diàn,상점,O
买,mǎi,사다,O
卖,mài,팔다,O
东西,dōng xi,물건,O
水果,shuǐ guǒ,과일,O
多少,duō shao,"얼마, 몇",O
钱,qián,돈,O
些,xiē,"몇, 조금",O
做,zuò,하다,O
一起,yì qǐ,"함께, 같이",O
听,tīng,듣다,O
住,zhù,살다,O
医生,yī shēng,의사,O
医院,yī yuàn,병원,O
身体,shēn tǐ,"신체, 몸",O
起床,qǐ chuáng,일어나다,O
洗,xǐ,씻다,O
红,hóng,"붉다, 빨갛다",O
快,kuài,빠르다,O
慢,màn,느리다,O
好吃,hǎo chī,맛있다,O
生日,shēng rì,생일,O
贵,guì,비싸다,O
便宜,pián yi,싸다,O
长,cháng,길다,O
书,shū,책,O
读,dú,읽다,O
老师,lǎo shī,선생님,O
同学,tóng xué,학교 친구,O
朋友,péng you,친구,O
学生,xué sheng,학생,O
写,xiě,쓰다,O
学校,xué xiào,학교,O
学习,xué xí,공부하다,O
叫,jiào,~라고 부르다,O
名字,míng zi,이름,O
是,shì,~이다,O
岁,suì,"세, 살",O
小,xiǎo,"작다, 어리다",O
