한자,병음,의미,활성
漂亮,piào liang,예쁘다,O
工作,gōng zuò,일,O
老师,lǎo shī,선생님,O
同学,tóng xué,동급생,O
今天,jīn tiān,오늘,O
水果,shuǐ guǒ,과일,O
咖啡,kā fēi,커피,O
时间,shí jiān,시간,O
米饭,mǐ fàn,밥,O
鸡蛋,jī dàn,계란,O
明天,míng tiān,내일,O
北京,běi jīng,베이징,O
妈妈,mā ma,엄마,O
喜欢,xǐ huan,좋아하다,O
学生,xué sheng,학생,O
现在,xiàn zài,지금,O
电话,diàn huà,전화,O
医生,yī shēng,의사,O
飞机,fēi jī,비행기,O
面包,miàn bāo,빵,O
朋友,péng you,친구,O
你好,nǐ hǎo,안녕,O
火车,huǒ chē,기차,O
电脑,diàn nǎo,컴퓨터,O
中国,zhōng guó,중국,O
可乐,kě lè,콜라,O
苹果,píng guǒ,사과,O
爸爸,bà ba,아빠,O
牛奶,niú nǎi,우유,O
学校,xué xiào,학교,O
